abbreviatedAddress,address/city,address/zipcode,bathrooms,bedrooms,daysOnZillow,lastSoldPrice,latitude,livingArea (sqft),longitude,lotSize,price,yearBuilt,zestimate
1301 SE 50th Ave,Portland,97215,1,2,122,560000,45.51345444,2162,-122.6117554,3484,560000,1911,590500
8115 SE 134th Dr,Portland,97236,3,3,122,555000,45.46430969,2402,-122.5271301,10018,555000,2003,580000
6213 SE 21st Ave,Portland,97202,1,2,119,620000,45.47789001,1629,-122.6445465,4791,620000,1922,652900
1636 SE Miller St,Portland,97202,2,3,118,650000,45.46627808,2335,-122.6482162,3920,650000,1929,684200
4818 SE Bybee Blvd,Portland,97206,3,4,122,575000,45.47237778,1744,-122.6133499,4791,575000,2008,606300
2728 SE 98th Ave,Portland,97266,3,4,117,500000,45.50234604,2191,-122.5623627,13939,500000,1939,526100
4026 SE Bybee Blvd,Portland,97202,3,3,118,550000,45.47225189,1698,-122.6213913,2178,550000,2013,579000
5415 SE Knapp St,Portland,97206,3,4,117,565000,45.47025299,2113,-122.6070251,4356,565000,2016,594500
11567 SE Powell Ct,Portland,97266,2,4,117,500000,45.49607086,2656,-122.5429382,22216,500000,1953,526100
2025 SE Reedway St,Portland,97202,1,2,122,553000,45.48187256,2048,-122.6448364,4791,553000,1929,583600
6110 SE 88th Ave,Portland,97266,3,3,116,540000,45.47842789,2368,-122.5722351,4356,540000,1908,567900
3834 SE Lincoln St,Portland,97214,1,3,115,560000,45.50786591,1976,-122.6231232,4356,560000,1909,588700
2406 SE 130th Ave,Portland,97233,8,5,115,579500,45.5049057,2884,-122.5295639,8276,579500,1977,609200
4914 SE Rhone St,Portland,97206,3,4,115,517000,45.49594498,1771,-122.6122208,3920,517000,2003,543500
7617 SE Lambert St,Portland,97206,2,4,117,500000,45.46706009,1522,-122.5851059,6534,500000,1953,526100
4210 SE Reedway St,Portland,97206,2,3,115,610000,45.48112488,2214,-122.6192017,10890,610000,1950,641300
4829 SE 62nd Ave,Portland,97206,3,3,112,575000,45.48786163,2180,-122.5993042,4356,575000,1905,603600
2133 SE 77th Ave,Portland,97215,3,3,111,615000,45.50732803,2016,-122.5841446,5227,615000,2012,645300
6108 SE 47th Ave,Portland,97206,1,2,111,545000,45.47828293,1575,-122.6141205,4791,545000,1912,571900
3936 SE Sherman St,Portland,97214,2,3,111,525000,45.50596619,1800,-122.6217957,3484,525000,1912,599600
6205 SE Sherman St,Portland,97215,2,3,110,610000,45.5069046,1290,-122.5997162,4791,610000,1985,639800
7711 SE Woodstock Blvd,Portland,97206,2,5,110,500000,45.47982407,2261,-122.5837326,4791,500000,1909,557100
7706 SE Woodward St,Portland,97206,2,3,110,591000,45.50128937,2832,-122.5835724,4791,591000,1956,619900
1735 SE 60th Ave,Portland,97215,2,4,112,537500,45.51014328,1554,-122.6020889,4356,537500,1980,564300
245 S Nebraska St,Portland,97239,1,3,109,644000,45.47749329,2353,-122.6758881,6098,644000,1926,675100
2049 SE 102nd Ave,Portland,97216,4,4,109,555000,45.50818634,3632,-122.5587616,9583,555000,1961,581800
3823 SE 65th Ave,Portland,97206,1,3,109,503600,45.49475861,1956,-122.596611,3920,503600,1907,527900
2345 SE 77th Ave,Portland,97215,3,3,109,500000,45.50576019,1565,-122.5839691,2178,500000,2015,524200
5042 SE Martins St,Portland,97206,2,2,108,540000,45.47820663,2082,-122.6102676,4791,540000,1912,566100
3419 S Kelly Ave,Portland,97239,2,3,108,630000,45.49832535,2205,-122.6751175,2613,630000,1889,660200
1501 SE 130th Ave,Portland,97233,3,3,108,513500,45.51242828,2012,-122.5304413,13068,513500,1957,538100
3329 SE Kelly St,Portland,97202,2,3,108,575000,45.50002289,2291,-122.6308212,3920,575000,1916,602500
9427 SE Sun Crest Dr,Happy Valley,97086,4,5,108,629000,45.45779037,3322,-122.5664215,11761,629000,1977,671700
5315 SE Holgate Blvd,Portland,97206,1,2,108,491000,45.4904747,2192,-122.6076508,4791,491000,1920,514500
4002 SE Gladstone St,Portland,97202,2,3,108,505000,45.49301529,1632,-122.6209335,4791,505000,1925,529200
12149 SE Flavel St,Portland,97266,3,5,108,630000,45.46896744,2740,-122.5372314,10890,630000,2003,660200
4452 SE 28th Pl,Portland,97202,2,3,109,557000,45.49042892,2128,-122.6362991,3920,557000,1927,593700
1956 SE 113th Ave,Portland,97216,2,4,108,525000,45.50893021,1920,-122.5464249,12196,525000,1955,550100
